[2021-02-24 15:22:51.711] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wangjunyao.middleware.server.RabbitmqTest], using SpringBootContextLoader
[2021-02-24 15:22:51.759] boot -  INFO [main] --- AbstractContextLoader:Could not detect default resource locations for test class [com.wangjunyao.middleware.server.RabbitmqTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[2021-02-24 15:22:52.178] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[2021-02-24 15:22:52.256] boot -  INFO [main] --- SpringBootTestContextBootstrapper:Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6302bbb1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@31304f14, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@34a3d150, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2a4fb17b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c6648b0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6f1de4c7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@459e9125, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@128d2484, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7cc0cdad, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7c7b252e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4d5d943d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@368f2016]
[2021-02-24 15:22:54.590] boot -  INFO [main] --- RabbitmqTest:Starting RabbitmqTest on 王俊瑶 with PID 16028 (started by wangjunyao in E:\idea-workspace\middleware\server)
[2021-02-24 15:22:54.591] boot -  INFO [main] --- RabbitmqTest:No active profile set, falling back to default profiles: default
[2021-02-24 15:22:54.791] boot -  INFO [main] --- GenericWebApplicationContext:Refreshing org.springframework.web.context.support.GenericWebApplicationContext@45a4b042: startup date [Wed Feb 24 15:22:54 CST 2021]; root of context hierarchy
[2021-02-24 15:22:57.828] boot -  INFO [background-preinit] --- Version:HV000001: Hibernate Validator 5.3.6.Final
[2021-02-24 15:22:59.942] boot -  INFO [main] --- RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode!
[2021-02-24 15:23:02.289] boot -  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker:Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$ff923226] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2021-02-24 15:23:02.491] boot -  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker:Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$392673f8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
